CONSTTK const
INTTK int
IDENFR a
LBRACK [
INTCON 3
RBRACK ]
ASSIGN =
LBRACE {
INTCON 1
COMMA ,
INTCON 2
COMMA ,
INTCON 3
RBRACE }
SEMICN ;
INTTK int
IDENFR m
LPARENT (
INTTK int
IDENFR k
LBRACK [
RBRACK ]
RPARENT )
LBRACE {
RETURNTK return
IDENFR k
LBRACK [
INTCON 1
RBRACK ]
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR b
SEMICN ;
IDENFR b
ASSIGN =
GETINTTK getint
LPARENT (
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "%d"
COMMA ,
IDENFR m
LPARENT (
IDENFR a
RPARENT )
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR b
GEQ >=
INTCON 0
AND &&
IDENFR b
LSS <
INTCON 3
RPARENT )
PRINTFTK printf
LPARENT (
STRCON "%d"
COMMA ,
IDENFR a
LBRACK [
IDENFR b
RBRACK ]
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
